labels	start	stop
noEnergy	4924.42	4924.96
speech	4924.96	4925.52
noEnergy	4925.52	4925.96
speech	4925.96	4926.34
noEnergy	4926.34	4927.06
speech	4927.06	4927.38
noEnergy	4927.38	4928.16
speech	4928.16	4931.32
noEnergy	4931.32	4932.5
speech	4932.5	4934.82
noEnergy	4934.82	4937.42
speech	4937.42	4938.52
noEnergy	4938.52	4939.12
speech	4939.12	4940.18
noEnergy	4940.18	4941.22
speech	4941.22	4942.52
noEnergy	4942.52	4943.04
speech	4943.04	4944.5
noEnergy	4944.5	4945.04
speech	4945.04	4945.96
noEnergy	4945.96	4946.52
speech	4946.52	4947.96
noEnergy	4947.96	4948.58
speech	4948.58	4953.06
noEnergy	4953.06	4953.52
speech	4953.52	4954.900000000001
noEnergy	4954.900000000001	4955.86
music	4955.86	5032.58
noEnergy	5032.58	5033.92
music	5033.92	5127.38
noEnergy	5127.38	5128.02
music	5128.02	5134.56
noEnergy	5134.56	5135.04
music	5135.04	5159.4800000000005
noEnergy	5159.4800000000005	5160.16
music	5160.16	5162.36
noEnergy	5162.36	5165.96
music	5165.96	5170.14
speech	5170.14	5182.54
music	5182.54	5186.900000000001
speech	5186.900000000001	5204.1
music	5204.1	5208.22
speech	5208.22	5210.32
music	5210.32	5212.68
speech	5212.68	5219.76
music	5219.76	5231.74
speech	5231.74	5234.22
music	5234.22	5320.18
noEnergy	5320.18	5321.36
music	5321.36	5324.3
noEnergy	5324.3	5325.22
music	5325.22	5345.72
speech	5345.72	5351.78
noEnergy	5351.78	5352.36
speech	5352.36	5365.02
music	5365.02	5380.6
speech	5380.6	5400.88
music	5400.88	5403.74
speech	5403.74	5405.02
noEnergy	5405.02	5405.7
music	5405.7	5409.3
noEnergy	5409.3	5411.28
music	5411.28	5415.3
speech	5415.3	5471.08
noEnergy	5471.08	5471.82
music	5471.82	5477.46
noEnergy	5477.46	5479.28
music	5479.28	5718.8
speech	5718.8	5725.66
noEnergy	5725.66	5726.56
speech	5726.56	5728.9800000000005
noEnergy	5728.9800000000005	5729.38
speech	5729.38	5730.7
noEnergy	5730.7	5731.82
speech	5731.82	5734.14
noEnergy	5734.14	5735.34
speech	5735.34	5738.68
noEnergy	5738.68	5739.400000000001
speech	5739.400000000001	5742.62
noEnergy	5742.62	5743.22
speech	5743.22	5744.78
noEnergy	5744.78	5745.16
speech	5745.16	5746.52
noEnergy	5746.52	5747.4400000000005
speech	5747.4400000000005	5749.74
noEnergy	5749.74	5750.3
speech	5750.3	5752.9400000000005
noEnergy	5752.9400000000005	5753.58
speech	5753.58	5755.7
noEnergy	5755.7	5756.7
speech	5756.7	5758.76
noEnergy	5758.76	5759.58
speech	5759.58	5761.28
noEnergy	5761.28	5762.6
speech	5762.6	5764.28
noEnergy	5764.28	5765.6
speech	5765.6	5770.34
noEnergy	5770.34	5770.9800000000005
speech	5770.9800000000005	5771.88
noEnergy	5771.88	5772.46
speech	5772.46	5773.62
noEnergy	5773.62	5774.5
speech	5774.5	5775.74
noEnergy	5775.74	5776.74
speech	5776.74	5778.86
noEnergy	5778.86	5782.14
music	5782.14	5961.12
noEnergy	5961.12	5961.58
music	5961.58	5972.900000000001
noEnergy	5972.900000000001	5974.7
music	5974.7	6168.3
speech	6168.3	6174.3
noEnergy	6174.3	6174.860000000001
speech	6174.860000000001	6175.66
noEnergy	6175.66	6176.3
speech	6176.3	6179.32
noEnergy	6179.32	6180.1
speech	6180.1	6181.82
noEnergy	6181.82	6183.2
speech	6183.2	6185.76
noEnergy	6185.76	6186.52
speech	6186.52	6187.66
noEnergy	6187.66	6188.68
speech	6188.68	6191.84
noEnergy	6191.84	6192.46
speech	6192.46	6194.860000000001
noEnergy	6194.860000000001	6195.54
speech	6195.54	6198.14
noEnergy	6198.14	6198.96
speech	6198.96	6199.28
noEnergy	6199.28	6200.22
speech	6200.22	6201.26
noEnergy	6201.26	6201.64
speech	6201.64	6202.860000000001
noEnergy	6202.860000000001	6203.56
speech	6203.56	6204.860000000001
noEnergy	6204.860000000001	6205.4800000000005
speech	6205.4800000000005	6206.12
noEnergy	6206.12	6206.7
speech	6206.7	6211.24
noEnergy	6211.24	6211.74
speech	6211.74	6212.8
noEnergy	6212.8	6213.5
speech	6213.5	6214.26
noEnergy	6214.26	6214.72
speech	6214.72	6215.52
noEnergy	6215.52	6216.0
speech	6216.0	6219.0
noEnergy	6219.0	6219.9800000000005
speech	6219.9800000000005	6222.860000000001
noEnergy	6222.860000000001	6223.78
speech	6223.78	6225.3
noEnergy	6225.3	6226.1
speech	6226.1	6227.88
noEnergy	6227.88	6228.400000000001
speech	6228.400000000001	6230.58
noEnergy	6230.58	6231.32
speech	6231.32	6235.08
noEnergy	6235.08	6236.4400000000005
speech	6236.4400000000005	6239.14
noEnergy	6239.14	6239.7
speech	6239.7	6240.68
noEnergy	6240.68	6241.74
